prob_attack,Source IP,Destination IP,Protocol,Destination Port
0.999999998535291,172.16.0.1,192.168.10.50,6.0,80.0
0.9999999985095336,172.16.0.1,192.168.10.50,6.0,80.0
0.9999999984519674,172.16.0.1,192.168.10.50,6.0,80.0
0.9999999984256289,172.16.0.1,192.168.10.50,6.0,80.0
0.9999999983892136,172.16.0.1,192.168.10.50,6.0,80.0
0.9999999983705326,172.16.0.1,192.168.10.50,6.0,80.0
0.9999999983659793,172.16.0.1,192.168.10.50,6.0,80.0
0.9999999983614771,172.16.0.1,192.168.10.50,6.0,80.0
0.999999998358845,172.16.0.1,192.168.10.50,6.0,80.0
0.9999999983504404,172.16.0.1,192.168.10.50,6.0,80.0
0.9999999983363859,172.16.0.1,192.168.10.50,6.0,80.0
0.999999998313178,172.16.0.1,192.168.10.50,6.0,80.0
0.999999998313178,172.16.0.1,192.168.10.50,6.0,80.0
0.9999999983029406,172.16.0.1,192.168.10.50,6.0,80.0
0.9999999982786418,172.16.0.1,192.168.10.50,6.0,80.0
0.9999999982786418,172.16.0.1,192.168.10.50,6.0,80.0
0.9999999982756802,172.16.0.1,192.168.10.50,6.0,80.0
0.999999998271113,172.16.0.1,192.168.10.50,6.0,80.0
0.9999999982644285,172.16.0.1,192.168.10.50,6.0,80.0
0.9999999982579377,172.16.0.1,192.168.10.50,6.0,80.0
0.9999999982376313,172.16.0.1,192.168.10.50,6.0,80.0
0.9999999982312613,172.16.0.1,192.168.10.50,6.0,80.0
0.9999999982312613,172.16.0.1,192.168.10.50,6.0,80.0
0.9999999982312613,172.16.0.1,192.168.10.50,6.0,80.0
0.9999999982312613,172.16.0.1,192.168.10.50,6.0,80.0
0.9999999982304362,172.16.0.1,192.168.10.50,6.0,80.0
0.9999999982184771,172.16.0.1,192.168.10.50,6.0,80.0
0.9999999981898857,172.16.0.1,192.168.10.50,6.0,80.0
0.9999999981792183,172.16.0.1,192.168.10.50,6.0,80.0
0.9999999981612517,172.16.0.1,192.168.10.50,6.0,80.0
0.9999999981598695,172.16.0.1,192.168.10.50,6.0,80.0
0.9999999981582917,172.16.0.1,192.168.10.50,6.0,80.0
0.9999999981573282,172.16.0.1,192.168.10.50,6.0,80.0
0.9999999981448711,172.16.0.1,192.168.10.50,6.0,80.0
0.9999999981413903,172.16.0.1,192.168.10.50,6.0,80.0
0.9999999981377341,172.16.0.1,192.168.10.50,6.0,80.0
0.9999999981377341,172.16.0.1,192.168.10.50,6.0,80.0
0.9999999981377341,172.16.0.1,192.168.10.50,6.0,80.0
0.9999999981377341,172.16.0.1,192.168.10.50,6.0,80.0
0.9999999981358281,172.16.0.1,192.168.10.50,6.0,80.0
0.9999999981356313,172.16.0.1,192.168.10.50,6.0,80.0
0.9999999981266587,172.16.0.1,192.168.10.50,6.0,80.0
0.9999999981266587,172.16.0.1,192.168.10.50,6.0,80.0
0.9999999981230574,172.16.0.1,192.168.10.50,6.0,80.0
0.9999999981181993,172.16.0.1,192.168.10.50,6.0,80.0
0.99999999811487,172.16.0.1,192.168.10.50,6.0,80.0
0.9999999981101073,172.16.0.1,192.168.10.50,6.0,80.0
0.9999999981027079,172.16.0.1,192.168.10.50,6.0,80.0
0.9999999981024841,172.16.0.1,192.168.10.50,6.0,80.0
0.9999999981000132,172.16.0.1,192.168.10.50,6.0,80.0
0.9999999980998395,172.16.0.1,192.168.10.50,6.0,80.0
0.999999998095473,172.16.0.1,192.168.10.50,6.0,80.0
0.999999998095473,172.16.0.1,192.168.10.50,6.0,80.0
0.9999999980859511,172.16.0.1,192.168.10.50,6.0,80.0
0.9999999980788934,172.16.0.1,192.168.10.50,6.0,80.0
0.9999999980788934,172.16.0.1,192.168.10.50,6.0,80.0
0.9999999980763719,172.16.0.1,192.168.10.50,6.0,80.0
0.9999999980763719,172.16.0.1,192.168.10.50,6.0,80.0
0.9999999980754948,172.16.0.1,192.168.10.50,6.0,80.0
0.9999999980754948,172.16.0.1,192.168.10.50,6.0,80.0
0.9999999980736543,172.16.0.1,192.168.10.50,6.0,80.0
0.9999999980615935,172.16.0.1,192.168.10.50,6.0,80.0
0.9999999980612013,172.16.0.1,192.168.10.50,6.0,80.0
0.9999999980558256,172.16.0.1,192.168.10.50,6.0,80.0
0.9999999980516663,172.16.0.1,192.168.10.50,6.0,80.0
0.9999999980503511,172.16.0.1,192.168.10.50,6.0,80.0
0.999999998045054,172.16.0.1,192.168.10.50,6.0,80.0
0.9999999980366727,172.16.0.1,192.168.10.50,6.0,80.0
0.9999999980319103,172.16.0.1,192.168.10.50,6.0,80.0
0.9999999980319103,172.16.0.1,192.168.10.50,6.0,80.0
0.9999999980303165,172.16.0.1,192.168.10.50,6.0,80.0
0.99999999803006,172.16.0.1,192.168.10.50,6.0,80.0
0.9999999980280678,172.16.0.1,192.168.10.50,6.0,80.0
0.9999999980277601,172.16.0.1,192.168.10.50,6.0,80.0
0.9999999980277601,172.16.0.1,192.168.10.50,6.0,80.0
0.9999999980277601,172.16.0.1,192.168.10.50,6.0,80.0
0.9999999980262431,172.16.0.1,192.168.10.50,6.0,80.0
0.9999999980214662,172.16.0.1,192.168.10.50,6.0,80.0
0.9999999980176144,172.16.0.1,192.168.10.50,6.0,80.0
0.9999999980101282,172.16.0.1,192.168.10.50,6.0,80.0
0.9999999980077554,172.16.0.1,192.168.10.50,6.0,80.0
0.9999999980070804,172.16.0.1,192.168.10.50,6.0,80.0
0.9999999980068379,172.16.0.1,192.168.10.50,6.0,80.0
0.9999999980061067,172.16.0.1,192.168.10.50,6.0,80.0
0.9999999980026866,172.16.0.1,192.168.10.50,6.0,80.0
0.9999999980018801,172.16.0.1,192.168.10.50,6.0,80.0
0.999999997989133,172.16.0.1,192.168.10.50,6.0,80.0
0.9999999979860967,172.16.0.1,192.168.10.50,6.0,80.0
